shader,000_KX,Light_Directional_use_implicit_lighting,SPECULARMODE,SWITCH_ALPHATEST,SWITCH_BILLBOARD,SWITCH_BILLBOARDY,SWITCH_BILLBOARDY_PAT_S,SWITCH_CRYSTAL,SWITCH_DEPTHALPHA,SWITCH_DIFFUSEMAP0,SWITCH_DIFFUSEMAP1,SWITCH_DIFFUSEMAP2,SWITCH_DIFFUSEMAPCOLOR0,SWITCH_DIFFUSEMAPCOLOR1,SWITCH_DIFFUSEMAPCOLOR2,SWITCH_DITHERDISABLE,SWITCH_DOUBLESIDE,SWITCH_DUDVENABLE0,SWITCH_DUDVENABLE1,SWITCH_DUDVENABLE2,SWITCH_DUDVMAP,SWITCH_DUDVMAP0,SWITCH_EDGEBIAS_TEX0_ALPHA,SWITCH_GLOW,SWITCH_GLOWMAP0,SWITCH_HIGHLIGHT,SWITCH_MASKMAP0,SWITCH_MASKMAP1,SWITCH_MASKMAP2,SWITCH_METAL,SWITCH_MIRROR,SWITCH_NOLIGHT,SWITCH_NOMAPCOLOR,SWITCH_NORMALMAP0,SWITCH_NORMALMAP1,SWITCH_NORMALMAP2,SWITCH_REFLECTION,SWITCH_REFRACTION,SWITCH_RIMALPHA,SWITCH_SHADOWONLY,SWITCH_SHADOWRECEIVE,SWITCH_SHAKING,SWITCH_SHAKINGVCOLOR,SWITCH_SHARDSEARCH,SWITCH_SILHOUETTE,SWITCH_SPHEREMAP,SWITCH_TOONMAP,SWITCH_TOONMASK,SWITCH_USECALC,SWITCH_VERTEXCOLOR,SWITCH_VERTEXCOLOR0,SWITCH_VERTEXCOLOR1,SWITCH_WAVEVERTEX,SWITCH_ZPREPASS,Switch_AlphaTest,Switch_Billboard,Switch_BillboardY,Switch_BillboardY_Pat,Switch_BillboardY_Pat_S,Switch_Crystal,Switch_DUDVEnable0,Switch_DUDVEnable1,Switch_DUDVEnable2,Switch_DUDVMap,Switch_DepthAlpha,Switch_DiffuseMap0,Switch_DiffuseMap1,Switch_DiffuseMap2,Switch_DiffuseMapColor0,Switch_DiffuseMapColor1,Switch_DiffuseMapColor2,Switch_DitherDisable,Switch_DoubleSide,Switch_DudvMap0,Switch_EdgeBias_Tex0_Alpha,Switch_Glow,Switch_GlowMap0,Switch_GlowMap1,Switch_HighLight,Switch_MaskMap0,Switch_MaskMap1,Switch_MaskMap2,Switch_Metal,Switch_Mirror,Switch_NoLight,Switch_NoMapColor,Switch_NormalMap0,Switch_NormalMap1,Switch_NormalMap2,Switch_Reflection,Switch_Refraction,Switch_RimAlpha,Switch_ShadowOnly,Switch_ShadowReceive,Switch_Shaking,Switch_ShakingVColor,Switch_ShardSearch,Switch_Silhouette,Switch_SphereMap,Switch_ToonMap,Switch_ToonMask,Switch_UseCalc,Switch_VertexColor,Switch_VertexColor0,Switch_VertexColor1,Switch_WaveVertex,Switch_ZPrePass,TEX1BLENDMODE,TEX2BLENDMODE,TEX4BLENDMODE,frozen,isShadowEnable_g,isSwatchRender_g,lightEnable_g,postTransparent_g
chr_cloth#00e9e8f32e92f39c,chr5303.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,-1,-1,-1,,,,,-1,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,1,1,0,,0,0,,1,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#032ae857b43ccf1e,cl_chr0000_10.mdl,1,1,,,,,,,-1,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,2,1,,0,0,0,0,
chr_cloth#06fd54adc4733af8,chr0000_c01.mdl,1,1,,,,,,,-1,-1,-1,,,,,,,-1,-1,-1,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,1,1,1,,1,1,1,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,2,2,,0,0,0,0,
chr_cloth#070368c50e696b2e,mon0107_c04.mdl,1,1,,,,,,,-1,-1,,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,0,,1,1,0,,,,,1,,0,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,1,0,,0,0,0,0,
chr_cloth#07eddc3a0959bf36,chr9998.mdl,1,0,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,,,0,,,,,0,0,0,0,0,,1,1,0,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,0,0,,1,,,,,0,0,,0,0,0,0,
chr_cloth#0887c3f5ba65a796,chr0533.mdl,0,1,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,1,,,,,0,0,0,0,0,,1,0,0,,,,,0,,0,0,0,0,,0,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#12434446a35d4724,equ8021.mdl,1,0,-1,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,1,,,,,0,0,0,0,0,,1,0,0,,,,,1,,0,0,0,0,,0,0,,0,,,,0,,,,,,1,0,,,,1,,0,0,,0,,,,,0,0,,0,0,0,0,
chr_cloth#13c80c45d731747a,equ0020.mdl,1,1,,,,,,,-1,-1,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,1,0,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,1,0,,0,0,0,0,
chr_cloth#14791a38d16e6661,chr5306_c01.mdl,1,1,,,,,,,-1,-1,-1,,,,,,,,,-1,,-1,,,,-1,,,,,,,,,,,,,,-1,,,,,,-1,-1,,,,,,,0,,,,,0,0,0,0,1,,1,1,1,,,,,0,,1,0,0,0,,1,0,,0,,,,0,,,,,,0,1,,,,0,,1,1,,0,,,,,0,0,,0,0,0,0,
chr_cloth#16172d610d91154c,chr0000_c01.mdl,1,2,,,,,,,-1,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,-1,,,,,,-1,,,,,,,,0,,,,,0,0,0,0,0,,1,0,0,,,,,0,,1,0,0,0,,0,0,,1,,,,0,,,,,,0,1,,,,0,,1,0,,0,,,,,0,0,,0,0,0,0,
