shader,YS_X,YS_Y,Light_Directional_use_implicit_lighting,SPECULARMODE,SWITCH_ALPHATEST,SWITCH_BACKLIGHTGRADATION,SWITCH_BILLBOARD,SWITCH_BILLBOARDY,SWITCH_CAUSTICS,SWITCH_DEFORMATION,SWITCH_DEPTHALPHA,SWITCH_DIFFUSEMAP0,SWITCH_DIFFUSEMAP1,SWITCH_DIFFUSEMAP2,SWITCH_DIFFUSEMAPCOLOR0,SWITCH_DIFFUSEMAPCOLOR1,SWITCH_DIFFUSEMAPCOLOR2,SWITCH_DISSOLVE,SWITCH_DITHERDISABLE,SWITCH_DITHERTRANSPARENT,SWITCH_DOUBLESIDE,SWITCH_DUDVENABLE0,SWITCH_DUDVENABLE1,SWITCH_DUDVENABLE2,SWITCH_DUDVMAP,SWITCH_FRESNELVERTEXNORMAL,SWITCH_GHOST,SWITCH_GLOW,SWITCH_HEIGHTMAP,SWITCH_HIGHLIGHT,SWITCH_HIGHLIGHTEDGE,SWITCH_MANACHAIN,SWITCH_MASKMAP0,SWITCH_MASKMAP1,SWITCH_MASKMAP2,SWITCH_METAL,SWITCH_MULTICOLOR,SWITCH_NOLIGHT,SWITCH_NORMALMAP0,SWITCH_NORMALMAP1,SWITCH_NORMALMAP2,SWITCH_NOSESIDELIGHT,SWITCH_OUTLINE,SWITCH_POINTLIGHTNORMALDISABLE,SWITCH_RANDOMBLEND,SWITCH_REFRACTION,SWITCH_RIMALPHA,SWITCH_SHADOWONLY,SWITCH_SHADOWRECEIVE,SWITCH_SHAKING,SWITCH_SHAKINGVCOLOR,SWITCH_SPHEREMAP,SWITCH_TOONMAP,SWITCH_VERTEXCOLOR,SWITCH_VERTEXCOLOR0,SWITCH_VERTEXCOLOR1,Switch_AlphaTest,Switch_BacklightGradation,Switch_Billboard,Switch_BillboardY,Switch_Caustics,Switch_DUDVEnable0,Switch_DUDVEnable1,Switch_DUDVEnable2,Switch_DUDVMap,Switch_Deformation,Switch_DepthAlpha,Switch_DiffuseMap0,Switch_DiffuseMap1,Switch_DiffuseMap2,Switch_DiffuseMapColor0,Switch_DiffuseMapColor1,Switch_DiffuseMapColor2,Switch_Dissolve,Switch_DitherDisable,Switch_DitherTransparent,Switch_DoubleSide,Switch_FresnelVertexNormal,Switch_Ghost,Switch_Glow,Switch_HeightMap,Switch_HighLight,Switch_HighLightEdge,Switch_ManaChain,Switch_MaskMap0,Switch_MaskMap1,Switch_MaskMap2,Switch_Metal,Switch_MultiColor,Switch_NoLight,Switch_NormalMap0,Switch_NormalMap1,Switch_NormalMap2,Switch_NoseSideLight,Switch_Outline,Switch_PointLightNormalDisable,Switch_RandomBlend,Switch_Refraction,Switch_RimAlpha,Switch_ShadowOnly,Switch_ShadowReceive,Switch_Shaking,Switch_ShakingVColor,Switch_SphereMap,Switch_ToonMap,Switch_VertexColor,Switch_VertexColor0,Switch_VertexColor1,TEX1BLENDMODE,TEX2BLENDMODE,frozen,isShadowEnable_g,lightEnable_g,noseSideLightTest_g,swatchRender_g
basic#0cde8bf68d8f0086,mp_d5120.mdl,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,0,0,0,,0
basic#882b84c771ea9b6c,ui_map_s1000_frame.mdl,,1,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,1,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,0,0,0,,0
basic#8db82f96888596cf,mp_d5120.mdl,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,0,,0
basic#e87a4ae20afbd224,o_m31obj32.mdl,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,0,0,0,,0
basic#ef46db3751d8e999,test_d2130.mdl,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,0,,0
basic#f90e7a3e6e944c6b,ui_map_m0001_unseal.mdl,,1,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,0,,
chara_cloth#027acf3ef506e882,m22310.mdl,,0,0,-1,-1,,,,,,-1,,,,,,-1,,,-1,,,,,,,,,,-1,,-1,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,1,1,,,,,,,,,,1,0,0,,,,1,,0,1,,0,0,,,1,,1,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#032cc77e40c926c4,c7220.mdl,,1,1,-1,-1,,,,,,-1,,,,,,,,,-1,,,,,,,,,,-1,,,,,,,,-1,,,,-1,-1,,,,,-1,,,,-1,,,,1,1,,,,,,,,,,1,0,0,,,,0,,0,1,,0,0,,,1,,0,0,,0,,,1,0,,,1,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#04bd568f64daba6a,m30300.mdl,,0,1,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,-1,,,-1,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,1,,0,0,,0,0,,,1,,0,1,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
chara_cloth#064da4062a98d28c,b0020.mdl,,1,1,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,-1,,-1,,,,,,-1,,,,,-1,,,,,-1,,,,-1,,,,0,0,,,,,,,,,,1,0,0,,,,1,,0,0,,0,0,,,1,,1,0,,0,,,1,0,,,0,1,0,,0,0,1,,,,1,,0,0,0,0,0,0,0,,0
